(0.1765531168,-0.9840380898)
(-0.5451167545,0.8396588182)
(-0.9998805724,0.03182883917)
(0.5213895191,-0.8523298929)
(1.000173967,-0.001642113729)
(-0.9854053009,0.1711223662)
(0.9408155778,-0.3454444751)
(-0.2980659427,-0.9555426589)
(-0.9224124576,-0.3855768215)
(0.9992720898,0.05888199007)
(0.5956467206,-0.8031858729)
(0.9733592066,0.2247602134)
(-0.9917742442,0.1302641065)
(0.1342346271,-0.9911034211)
(-0.8416379852,0.5457675313)
(0.04219569809,0.9989071229)
(0.8016899978,-0.5958160959)
(0.9040076864,0.4243638583)
(-0.952168468,0.3086105972)
(-0.9489225786,0.3062376945)
(0.961001914,-0.2870329313)
(0.9996399772,-0.02753714835)
(-0.8067887322,0.5925604977)
(-0.9945455684,-0.09567886795)
(0.5732203472,-0.8207175221)
(-0.4036213681,-0.9165008054)
(0.3815963874,-0.9225459318)
(-0.8165287463,0.5788157282)
(0.9874137056,-0.1359919641)
(-0.7890180634,0.6166672028)
(0.4120997166,-0.9095281499)
(0.3463348956,0.9310518202)
(0.001361855104,-0.9994709124)
(-0.6743824765,0.7403580657)
(0.2650914712,-0.9632768735)
(0.7357042273,-0.6803144124)
(-0.6045604066,0.7995195504)
(0.9967571251,0.0842801232)
(0.9466758953,0.3204681036)
(-0.9954962461,0.104632718)
(0.4042299023,-0.9115456602)
(0.9609763576,0.281877973)
(-0.9680506484,0.2390300813)
(-1.001118549,0.05557548201)
(0.9999270255,-0.000641364972)
(-0.0776068189,-0.9976658035)
(0.9508694274,0.3231504712)
(-0.759685017,0.656915513)
(0.4476685108,-0.894534014)
(0.9617491098,-0.2753078179)
(0.8954038843,0.4456022277)
(-1.002826958,-0.01874935384)
(1.002774458,-0.008521957314)
(-0.1535814775,-0.9883579465)
(-0.9759261378,0.2161413837)
(-0.6602827631,0.7541354126)
(0.0929241711,-0.9980125697)
(-0.9027932236,0.4269284759)
(-0.8129133377,0.5871386198)
(0.952225961,0.3057555706)
(0.9908413155,-0.01547303615)
(-0.8337721786,-0.5547491552)
(-0.9985615494,-0.004790999182)
(0.9943542586,0.1334561147)
(0.8857935672,0.4664554806)
(-0.9932131179,0.08029506222)
(1.000929255,-0.01286512998)
(-0.9036829387,0.4275937036)
(-0.9527136433,-0.3016256902)
(0.5140480108,-0.8571479715)
(-1.002259145,0.002007796409)
(-0.8333667306,0.5549046374)
(1.00036655,-0.03050202638)
(-0.9948046854,0.07176554802)
(0.4204491959,0.9049772577)
(0.7769777755,0.6433407988)
(0.9274113985,-0.3707779911)
(0.9992103645,-0.01865574861)
(0.8235557912,-0.5646067549)
(-0.9826328105,0.1725802224)
(-0.9830431897,-0.1843706889)
(0.1292970873,-0.9903238261)
(0.3766744792,0.9252714034)
(-0.008578009445,-1.004716122)
(0.1929101203,-0.9849508578)
(-0.7634066719,0.6430413475)
(0.980465895,-0.2417852034)
(0.2892267518,-0.9567397087)
(-0.8520060777,-0.5264695858)
(0.8015460777,0.5957402118)
(0.9872795436,-0.1624421533)
(0.8558670986,-0.5103773229)
(0.9787822322,0.209177601)
(0.9868068726,0.1602134358)
(-0.9990672458,0.01622238899)
(-0.9909670296,0.1234418996)
(0.2001515908,-0.9813150373)
(0.8655771169,-0.4997478049)
(-0.3484655382,0.9393163411)
(-1.001824222,-0.1061257129)
(0.500869831,0.8624182062)
(-0.6905955833,0.7266952814)
(-0.7220467969,0.6925069966)
(-0.6226641789,0.7802592213)
(1.0013201,0.04359358554)
(-0.9993204739,0.0009732979583)
(0.8960183098,0.4459787517)
(-0.9908100844,0.08130515747)
(0.7663336863,0.6421565059)
(0.3785974171,0.9341524342)
(0.04132091229,-0.9993502614)
(0.3692028819,0.9300508086)
(0.3827717701,0.9247124508)
(-0.02523903712,-1.000019613)
(-0.2954006117,0.953879251)
(0.8782541619,-0.4748292851)
(0.09286743966,0.9952389357)
(-0.9090904387,0.4157432734)
(-0.9580543636,0.2928700924)
(0.9472382993,-0.3243887625)
(0.4847148421,0.8751333602)
(-0.04621542656,0.9983764849)
(-0.8469176981,-0.5301505096)
(0.4667420149,-0.8869387269)
(-0.9872426472,0.1619552141)
(0.2309426776,-0.9734513975)
(-0.1871816918,-0.9821172495)
(0.1012512068,-0.994524834)
(-0.8498929066,0.5274995274)
(0.3390292785,-0.9494372742)
(-0.9841428318,-0.1810330827)
(1.018100799,-0.03136007515)
(-0.9926240419,0.2278943963)
(0.4880201364,0.8888573963)
(-0.9965885421,-0.09472545935)
(-0.9891127522,-0.1396973448)
(0.9164690671,0.4032765516)
(-0.9474946016,-0.321472618)
(-0.9247463568,-0.3812198427)
(0.952772353,0.3055479692)
(-0.545093572,-0.8376301928)
(0.09988881187,0.9953208717)
(-0.8762354238,-0.4842549144)
(0.4915859685,-0.8714999089)
(0.2703631435,-0.9637421129)
(-0.004231465639,0.999708564)
(0.9990049899,0.02647456818)
(-0.9900164894,-0.139251315)
(-0.6693843517,-0.7398359048)
(0.9976239137,-0.04269528963)
(0.7403720241,-0.6720873359)
(0.6673598394,0.7446854944)
(0.3114546918,0.9516673088)
(0.7872336528,0.6206303798)
(-0.2142232719,-0.9755256671)
(0.06542156415,0.9937686407)
(0.1744750215,0.9846619267)
(-1.010203986,-0.06917480749)
(0.8911882656,-0.4797794637)
(0.5276330012,-0.8388705723)
(-0.9954992015,0.07446003786)
(-0.9309214284,0.3543613197)
(-0.9939478849,-0.1234494336)
(0.9956042159,-0.1088990705)
(0.975345741,-0.2258928212)
(0.9649203607,-0.2643912832)
(0.1741277027,0.9874473875)
(-1.000362765,0.00278505454)
(-0.7594085716,-0.6485959321)
(0.9998805896,0.01526405103)
(0.876810756,0.4808055232)
(-0.789193908,0.6147277034)
(-0.9869245829,0.1543452355)
(0.9138308215,0.3973316784)
(-0.9887272104,-0.1496849512)
(-0.03472434174,1.000505309)
(-1.000264413,0.008589042492)
(0.7147744496,0.6980375368)
(0.4767277867,0.8799998406)
(-0.9901340762,-0.137752308)
(-0.9950769846,-0.1023105932)
(0.3895156915,-0.923133979)
(-0.858095113,-0.5103904902)
(-0.8719481296,-0.4853865158)
(0.4109756686,-0.9109061697)
(0.07763447383,0.9945985395)
(0.7507429984,-0.6704320844)
(0.3415645623,-0.936191761)
(-0.9938203105,-0.09478697475)
(0.9234094643,-0.3812272616)
(-0.9923081454,-0.1304064654)
(-0.8933336107,0.4523817937)
(0.9992175444,-0.000971761117)
(0.5571067975,0.8309936567)
(0.9715109442,-0.2320827991)
(-0.9870824092,-0.1562706218)
(0.9982378007,-0.003828003969)
(-1.001393275,0.001112019221)
(-0.6626823905,-0.7479879509)
(-0.9941909753,-0.1081987047)
(-0.967788865,0.2515925452)
(-0.9990728968,0.05167429496)
(0.5017029469,-0.8644156744)
(0.9977248693,-0.004177478592)
(1.00058867,0.02218663681)
(-0.8719844298,0.4873892977)
(0.9987085505,-0.04241279322)
(0.09908066115,0.9973431657)
(-0.6858354204,-0.7264787709)
(0.1682579645,0.985828614)
(0.09835105851,0.9948032002)
(0.4408377889,-0.8991106077)
(-0.008879345359,0.9991354604)
(0.5510519295,0.834729191)
(-0.9943411004,0.09916404585)
(0.3925855817,0.9215918015)
(0.8994950842,-0.4372581103)
(-0.997275111,0.005375412064)
(0.8488300292,0.5295492049)
(0.3835540877,-0.9231665132)
(0.7642805349,-0.645455274)
(0.3846520478,0.9239901571)
(0.07761045733,-0.9988845734)
(-0.9169917996,-0.3982450298)
(-0.8366583685,-0.5466188194)
(0.994103813,-0.1040766525)
(-0.8196986682,-0.5706790318)
(-0.7678232375,-0.6410280754)
(0.08919647478,0.995788183)
(-0.6524604467,-0.7614716494)
(0.3133288345,0.9486612915)
(0.5119214108,0.8587517134)
(0.4830440925,0.8771870813)
(-0.7833429896,-0.6239082265)
(0.1397897094,0.9888560437)
(-0.232145144,0.9754382383)
(-0.9800470873,0.1949355463)
(0.9966987457,0.04839833122)
(0.9945005106,0.1203112676)
(1.000481721,-0.01468685755)
(0.8394888167,0.5455375999)
(-0.7371789256,-0.6763667852)
(-0.8776326119,-0.4768083867)
(0.3765778741,0.9270285962)
(-0.9620229931,-0.2772114784)
(-0.8335240498,-0.5542508854)
(0.01464548585,-0.9986206059)
(-0.9878171658,0.1473888017)
(-0.9288740487,-0.3699951161)
(-0.9178626585,-0.3963139073)
(0.9881231659,-0.1527288539)
(0.9819988818,-0.1799823156)
